canonical_name,kgis_code,year,month,category,count,expected,anomaly_score,reason
Haveri,11,2017,5,CrPC,280,107.7,0.5561,"May 2017: 280 Crpc in Haveri vs ~108 expected (2.6x, z=0.9) - spike."
Dakshina Kannada,24,2017,9,Karnataka State Local Act,44,16.6,0.5556,"Sep 2017: 44 Karnataka State Local Act in Dakshina Kannada vs ~17 expected (2.6x, z=1.7) - spike."
Vijayapura,03,2016,10,CrPC,95,36.0,0.5545,"Oct 2016: 95 Crpc in Vijayapura vs ~36 expected (2.6x, z=0.8) - spike."
Bengaluru Urban,20,2016,12,CrPC,243,92.8,0.5545,"Dec 2016: 243 Crpc in Bengaluru Urban vs ~93 expected (2.6x, z=0.7) - spike."
Belagavi,01,2016,7,CrPC,175,66.7,0.5544,"Jul 2016: 175 Crpc in Belagavi vs ~67 expected (2.6x, z=0.5) - spike."
Kalaburagi,04,2017,7,CrPC,239,92.2,0.5538,"Jul 2017: 239 Crpc in Kalaburagi vs ~92 expected (2.6x, z=0.8) - spike."
Chamarajanagar,27,2017,5,CrPC,324,122.7,0.5533,"May 2017: 324 Crpc in Chamarajanagar vs ~123 expected (2.6x, z=1.6) - spike."
Kodagu,25,2021,6,Karnataka State Local Act,23,9.1,0.5522,"Jun 2021: 23 Karnataka State Local Act in Kodagu vs ~9 expected (2.5x, z=2.1) - spike."
Bengaluru Urban,20,2020,8,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,562,221.1,0.5522,"Aug 2020: 562 Narcotic Drugs & Pshycotropic Substances in Bengaluru Urban vs ~221 expected (2.5x, z=1.8) - spike."
Bagalkote,02,2016,10,CrPC,65,24.4,0.5518,"Oct 2016: 65 Crpc in Bagalkote vs ~24 expected (2.7x, z=0.6) - spike."
Hassan,23,2017,12,CrPC,42,15.8,0.5501,"Dec 2017: 42 Crpc in Hassan vs ~16 expected (2.7x, z=0.1) - spike."
Mysuru,26,2016,11,CrPC,203,79.0,0.5501,"Nov 2016: 203 Crpc in Mysuru vs ~79 expected (2.6x, z=0.6) - spike."
Hassan,23,2020,9,Karnataka State Local Act,94,36.1,0.5494,"Sep 2020: 94 Karnataka State Local Act in Hassan vs ~36 expected (2.6x, z=1.7) - spike."
Dakshina Kannada,24,2017,11,Karnataka State Local Act,42,15.6,0.5493,"Nov 2017: 42 Karnataka State Local Act in Dakshina Kannada vs ~16 expected (2.7x, z=1.6) - spike."
Bengaluru Rural,21,2016,9,Karnataka State Local Act,50,18.6,0.5489,"Sep 2016: 50 Karnataka State Local Act in Bengaluru Rural vs ~19 expected (2.7x, z=1.7) - spike."
Bengaluru Rural,21,2016,8,CrPC,103,39.8,0.5489,"Aug 2016: 103 Crpc in Bengaluru Rural vs ~40 expected (2.6x, z=0.6) - spike."
Chitradurga,13,2017,3,CrPC,358,136.4,0.5477,"Mar 2017: 358 Crpc in Chitradurga vs ~136 expected (2.6x, z=1.6) - spike."
Udupi,16,2018,2,KARNATAKA POLICE ACT 1963,42,15.9,0.5444,"Feb 2018: 42 Karnataka Police Act 1963 in Udupi vs ~16 expected (2.6x, z=1.6) - spike."
Kodagu,25,2022,1,Karnataka State Local Act,21,8.0,0.5443,"Jan 2022: 21 Karnataka State Local Act in Kodagu vs ~8 expected (2.6x, z=1.9) - spike."
Udupi,16,2016,11,CrPC,142,55.3,0.5427,"Nov 2016: 142 Crpc in Udupi vs ~55 expected (2.6x, z=0.7) - spike."
Kolar,19,2017,5,CrPC,182,71.0,0.5414,"May 2017: 182 Crpc in Kolar vs ~71 expected (2.6x, z=0.7) - spike."
Mysuru,26,2017,2,CrPC,237,92.8,0.5413,"Feb 2017: 237 Crpc in Mysuru vs ~93 expected (2.6x, z=0.7) - spike."
Chikkamagaluru,17,2018,3,CrPC,362,141.3,0.5412,"Mar 2018: 362 Crpc in Chikkamagaluru vs ~141 expected (2.6x, z=1.6) - spike."
Tumakuru,18,2017,7,CrPC,83,32.0,0.5412,"Jul 2017: 83 Crpc in Tumakuru vs ~32 expected (2.6x, z=0.5) - spike."
Gadag,08,2018,4,Karnataka State Local Act,49,19.0,0.5401,"Apr 2018: 49 Karnataka State Local Act in Gadag vs ~19 expected (2.6x, z=1.7) - spike."
Dharwad,09,2016,6,CrPC,131,51.5,0.5393,"Jun 2016: 131 Crpc in Dharwad vs ~52 expected (2.5x, z=0.8) - spike."
