major_head,sub_head,count
Karnataka State Local Act,Karnataka Society Regstration Act,3
CRIMINAL MISAPPROPRIATION,Commercial Establishment/Shop,3
KIDNAPPING AND ABDUCTION,For Stealing From Its Person,3
ASSAULT,On Professional,3
ASSAULT,On Woman (SC),3
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,For Gain,3
KIDNAPPING AND ABDUCTION,For Begging,3
KIDNAPPING AND ABDUCTION,Intent To Steal From Child,3
ANIMAL,Elephant (Preservation) Act 1879,3
OFFENCES AGAINST STATE,Offences Against State,3
Karnataka State Local Act,Karnataka Kerosene Restriction Unuse Act 1956,3
COMMUNAL / RELIGION,Sectarian Issue,3
FAILURE TO APPEAR TO COURT,229A,3
ARSON,Boat/Ship,3
DOCUMENTS & PROPERTY MARKS,Documents,3
ADULTERATION,Soft Drinks,3
RIOTS,Simple Hurt,3
ASSAULT,On Man (ST),3
Karnataka State Local Act,Karnataka Weight & Measurement Act,3
Human Trafficking,Men,3
DACOITY,River & Sea,3
Karnataka State Local Act,Karnataka Right To Information Act 2000 & 2008,3
ADULTERATION,Attempt To Commit,2
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Other Elected Member,2
CINEMATOGRAPH ACT 1952,Films,2
CRIMINAL INTIMIDATION,Others,2
DEFENCE FORCES OFFENCES RELATING TO (also relating to desertion),Army,2
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Due To Personal Vendetta Or Enemity,2
ADULTERATION,Edible Oil,2
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Minister,2
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,For Political Reasons,2
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Public Sector Undertaking Official,2
DACOITY,At ATM,2
CRUELTY BY HUSBAND,Prevention Of Gaming,2
CRIMINAL INTIMIDATION,Simple Hurt,2
DEATHS DUE TO RASHNESS/NEGLIGENCE,Poisonous Substance,2
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,For Dowry,2
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Due To Sexual Jealousy,2
MOLESTATION,House,2
MOTOR VEHICLE ACCIDENTS NON-FATAL,Other - Related,2
Karnataka State Local Act,Karnataka Kersosene Dealers License Order 1969,2
Karnataka State Local Act,Karnataka Urban Developoment Act 1987,2
INFANTICIDE,Male,2
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Electoral Gain,2
